<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
AAV,20200303,6.7,7,6.7,6.7,186046
ACB,20200303,25.6,25.9,25.3,25.6,6364207
ACM,20200303,0.6,0.7,0.5,0.6,231212
ADC,20200303,16.1,16.1,16.1,16.1,106
ALT,20200303,11,11,10,10,617
AMV,20200303,18.9,19.6,18.5,19.3,913510
API,20200303,15.7,15.7,13.7,13.7,200
APS,20200303,2.5,2.6,2.5,2.5,178500
ART,20200303,2.5,2.6,2.5,2.6,2933756
BAX,20200303,43,43.7,43,43.7,3400
BBS,20200303,10.5,12.5,10.5,12.5,5100
BCC,20200303,6.6,6.8,6.6,6.7,24441
BDB,20200303,10.8,10.8,10.8,10.8,1000
BII,20200303,0.7,0.8,0.7,0.7,117300
BKC,20200303,6,6,6,6,400
BST,20200303,36.2,36.2,36.2,36.2,200
BTS,20200303,4.2,4.2,4.2,4.2,1100
BVS,20200303,9.3,9.4,9.1,9.4,104700
C69,20200303,6.9,7.1,6.3,6.8,1285335
CAN,20200303,22.4,22.4,22.4,22.4,100
CAP,20200303,29.5,29.5,29.3,29.3,5510
CEO,20200303,8.2,8.3,8.1,8.1,246111
CIA,20200303,12,12.3,12,12.1,11890
CKV,20200303,13.1,14.3,13.1,14.3,200
CLH,20200303,14.1,14.1,14.1,14.1,600
CPC,20200303,19,19,19,19,300
CSC,20200303,28.2,28.5,26.5,26.7,37100
CTC,20200303,2.7,2.7,2.7,2.7,100
CTP,20200303,3.5,3.6,3.5,3.6,2900
CTT,20200303,8.1,8.1,8.1,8.1,2000
CTX,20200303,11.5,11.5,11.5,11.5,500
CVN,20200303,10.4,10.4,10,10.4,4300
D11,20200303,18.9,19.3,16,17.9,31300
DAD,20200303,17.8,19,17.8,19,3100
DAE,20200303,17.4,19,17.4,19,3500
DC2,20200303,5.1,5.3,5.1,5.3,35115
DDG,20200303,26.1,26.5,25.9,26.5,89800
DGC,20200303,24.4,24.4,24.3,24.3,19815
DHP,20200303,10,10,9.5,9.5,6800
DHT,20200303,47.8,48.2,47.4,48,24159
DIH,20200303,16.8,17.2,16.8,17,2329
DNM,20200303,16.5,16.5,14.8,15.5,5624
DNP,20200303,18.4,18.5,18.4,18.5,9565
DNY,20200303,1.3,1.3,1.3,1.3,100
