<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
VRC,20200715,6.65,6.68,6.6,6.62,101170
VRE,20200715,26.5,27,26.5,26.7,1502410
VSC,20200715,28.75,29,28.75,28.8,98670
VSH,20200715,17.3,17.3,17.15,17.25,29600
VSI,20200715,23,23,23,23,10
VTB,20200715,9.9,10,9.85,10,8560
VTO,20200715,7.3,7.3,7,7.1,27170
YBM,20200715,3.9,4.1,3.9,4.04,2240
YEG,20200715,61.9,61.9,59,59.6,47960
VND,20200715,13.5,13.65,13.35,13.4,265590
VNE,20200715,4.75,4.8,4.74,4.74,138940
VNG,20200715,16.2,16.25,16.05,16.2,188450
VNM,20200715,116,117,116,116,1015000
VNS,20200715,12.55,13.4,12.55,13.4,311000
VOS,20200715,1.51,1.51,1.45,1.47,158400
VPB,20200715,22.55,22.8,22.5,22.5,2201940
VPD,20200715,14,14,13.9,14,6770
VPG,20200715,13.2,13.3,13.1,13.2,122280
VPH,20200715,4.49,4.49,4.22,4.22,20010
VPI,20200715,41.2,41.6,41.2,41.55,351350
VCB,20200715,83.2,83.8,83.2,83.5,1198530
VCF,20200715,222.9,222.9,215.6,215.6,140
VCI,20200715,25.4,25.45,24.8,24.9,661280
VDP,20200715,33.2,33.2,31.2,31.2,20
VDS,20200715,6.1,6.1,6.1,6.1,1370
VFG,20200715,39,39,38.95,38.95,20
VGC,20200715,20.5,20.7,20,20.15,340490
VHC,20200715,38.5,39.5,38.3,39.15,974220
VHM,20200715,81.3,83,80.8,81.1,2351560
VIC,20200715,91.7,91.7,90.5,90.5,384240
VID,20200715,10.25,10.4,10.2,10.4,18300
VIP,20200715,5.65,5.8,5.51,5.8,313300
VIS,20200715,19.4,19.4,19.4,19.4,10
VJC,20200715,108,108.6,107.8,107.8,210730
TTB,20200715,6,6,5.7,5.72,1077640
TTF,20200715,3.25,3.26,3.12,3.12,1229720
TV2,20200715,75,75.2,74.5,75.1,77800
TVB,20200715,8.9,8.9,8.63,8.71,66680
TVT,20200715,19.6,19.6,19.4,19.4,140
TYA,20200715,15.4,15.4,15.2,15.35,15410
UDC,20200715,4.5,4.76,4.45,4.75,206680
UIC,20200715,37.6,38.9,37.6,38.9,120
VAF,20200715,10.15,10.15,10.15,10.15,30
TLD,20200715,7.82,7.85,7.8,7.83,211910
TLG,20200715,39.5,39.95,39,39.05,130360
TLH,20200715,3.55,3.67,3.49,3.49,131870
TMP,20200715,35.1,35.1,35,35.1,10050
TMS,20200715,25.8,25.8,25.8,25.8,10
TMT,20200715,5.63,5.63,5.21,5.3,3250
TN1,20200715,59,62.9,58.8,62.9,4210
TNA,20200715,17.5,18,17.2,18,971970
TNC,20200715,22.5,22.5,22.5,22.5,520
TNI,20200715,4.3,4.31,4,4.04,5162510
TNT,20200715,1.61,1.61,1.57,1.6,53230
TPB,20200715,21.75,21.85,21.6,21.65,22780
TPC,20200715,6.86,6.86,6.86,6.86,10
TRA,20200715,53.5,55.5,53.5,55,12410
TRC,20200715,29.7,30.95,29.7,30.9,126660
TS4,20200715,3.45,3.55,3.45,3.55,3400
TSC,20200715,2.8,2.87,2.78,2.87,999740
TCO,20200715,11.35,11.35,11.35,11.35,10
TCR,20200715,2.9,2.9,2.9,2.9,670
TCT,20200715,26.8,26.9,26.8,26.9,4180
TDC,20200715,8.1,8.25,8.1,8.25,101930
TDG,20200715,1.77,1.77,1.73,1.75,134850
TDH,20200715,9,9.05,8.94,8.95,446670
TDM,20200715,23.8,23.85,23.75,23.8,27380
TDW,20200715,26.7,26.7,26.7,26.7,830
TEG,20200715,5.22,5.98,5.21,5.94,112470
TGG,20200715,1.19,1.19,1.16,1.16,123870
THG,20200715,46,46,44.5,45,21570
TIP,20200715,20.25,20.25,20,20.1,142590
TIX,20200715,29.95,29.95,29,29,130
SZL,20200715,42,44.9,42,44.9,198170
TAC,20200715,34.9,34.9,34.35,34.7,1550
TBC,20200715,23,24,23,24,560
TCB,20200715,20.3,20.75,20.3,20.6,1697190
