<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
A32,20200421,25,26.8,25,26.8,4400
ABC,20200421,9.5,9.7,9.4,9.5,34000
ABI,20200421,23.5,23.9,23.5,23.5,2400
ABR,20200421,30.5,30.5,30.1,30.1,500
ACE,20200421,22.7,22.7,22.7,22.7,1800
ACS,20200421,10.2,10.2,10.2,10.2,100
ACV,20200421,62.5,62.5,58.7,58.7,439725
ADG,20200421,92.5,92.8,92.4,92.8,8900
AFX,20200421,5.2,5.2,4.5,4.6,162550
AGP,20200421,18,18,18,18,100
AMS,20200421,6.7,6.7,6.7,6.7,200
APF,20200421,27,27,27,27,6210
ATB,20200421,0.5,0.5,0.5,0.5,11300
BAB,20200421,17.8,17.8,17.8,17.8,2500
BAL,20200421,10.8,10.8,10.8,10.8,100
BBM,20200421,14.5,14.5,14.5,14.5,100
BBT,20200421,16.1,18.5,16.1,18.5,600
BCM,20200421,21.5,22.5,19.3,20.5,46900
BDF,20200421,15.4,15.4,15.4,15.4,100
BDG,20200421,29.2,29.3,26.6,27.2,5200
BDT,20200421,16.2,16.2,15.2,15.5,13700
BEL,20200421,10,10,10,10,700
BHK,20200421,11.5,11.5,11.5,11.5,100
BHP,20200421,10,10,9.8,9.8,200
BLT,20200421,14,14,14,14,100
BMF,20200421,15.8,16,15.8,16,500
BOT,20200421,54.5,54.6,54.3,54.3,29400
BQB,20200421,4.5,4.5,4.5,4.5,10000
BSA,20200421,13.9,13.9,13.6,13.7,15106
BSP,20200421,14.6,16.4,14.6,16,300
BSR,20200421,6.3,6.3,5.7,5.8,7437718
BT1,20200421,18.2,18.2,18.2,18.2,100
BTD,20200421,15.9,15.9,15.6,15.6,1900
BWS,20200421,35.2,37.5,35.2,37.5,200
C12,20200421,3.2,3.6,3.2,3.6,300
C4G,20200421,5.5,5.5,5.1,5.3,773552
CAT,20200421,9.1,9.1,9.1,9.1,1000
CCA,20200421,10,10,10,10,1000
CCM,20200421,22.1,22.1,22.1,22.1,1159
CDO,20200421,0.8,0.8,0.8,0.8,52605
CDP,20200421,7.5,7.5,7.5,7.5,100
CEG,20200421,6,6,6,6,5000
CEN,20200421,4.7,4.7,4.1,4.2,25800
CHS,20200421,7.1,7.1,7.1,7.1,100
CI5,20200421,2.6,2.6,2.6,2.6,100
CLX,20200421,11.5,11.5,11,11,3600
CMT,20200421,6.1,6.1,6,6,900
CNC,20200421,21.9,21.9,19.5,19.5,600
CNN,20200421,19,19,19,19,200
CQT,20200421,3.6,3.6,3.6,3.6,100
CT3,20200421,16.3,16.3,16.3,16.3,100
CTR,20200421,38.9,38.9,35.2,36,596972
DBM,20200421,37.8,37.8,37.8,37.8,700
DDN,20200421,10.5,10.5,10.5,10.5,3200
DDV,20200421,5.8,5.8,5.8,5.8,3300
DGT,20200421,63,63,63,63,500
DHD,20200421,37.9,37.9,34,35,1300
DNA,20200421,19.4,19.5,14.5,19.5,1200
DNW,20200421,15.5,15.7,15.5,15.7,1900
DOP,20200421,9.5,9.5,9.5,9.5,200
DP1,20200421,15.7,15.7,15.7,15.7,100
DRG,20200421,7.5,7.5,7.5,7.5,100
DRI,20200421,3.9,4,3.8,3.8,127300
DSP,20200421,12.1,12.1,12,12,600
DTC,20200421,9.5,11.9,9.5,11.9,400
DVN,20200421,11,11.1,9.7,10.6,206630
EIN,20200421,4.1,4.1,4.1,4.1,110
EMS,20200421,39,39,38.9,38.9,600
EPH,20200421,7,7,6.9,6.9,1500
EVF,20200421,7.3,7.3,6.8,6.8,54130
FHS,20200421,35,35,35,35,100
FOX,20200421,47,47.1,45,46,19395
G36,20200421,4.3,4.7,4.1,4.7,749700
GHC,20200421,30.5,31.3,30.5,31.2,11000
GSM,20200421,8,8,8,8,100
GTH,20200421,5,5,4.6,4.6,900
GTS,20200421,8.9,9,8.9,9,200
GVT,20200421,35,35,35,35,505
HAC,20200421,4.2,4.9,4.2,4.9,16600
HAF,20200421,20.6,20.6,20.6,20.6,200
HAM,20200421,22,26.5,22,26.5,255200
HAN,20200421,6.2,6.2,6.2,6.2,100
HD2,20200421,5.4,5.4,5.4,5.4,1500
HDM,20200421,15,15,15,15,200
HDP,20200421,9.1,9.1,9.1,9.1,6050
HEJ,20200421,22,22,22,22,100
HEM,20200421,14,14,12.8,12.8,16510
HFC,20200421,8.1,8.1,8.1,8.1,100
HHV,20200421,16,16,16,16,10
HIG,20200421,8,8.1,8,8.1,1099
HIZ,20200421,25.9,25.9,25.9,25.9,200
HND,20200421,16.8,16.8,16,16.1,260995
HNE,20200421,8.9,8.9,8.9,8.9,100
HNF,20200421,26.4,26.4,25,25,3700
HPI,20200421,16.5,16.5,16.3,16.3,300
HPP,20200421,45.8,45.8,36,36,700
