<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
FUCVREIT,20200410,7,7,7,7,30
YBM,20200410,3.35,3.65,3.35,3.59,3260
YEG,20200410,50.4,51,49.1,49.8,28340
VND,20200410,11.6,11.65,11.2,11.5,1020600
VNE,20200410,3.71,3.75,3.65,3.68,180630
VNG,20200410,13.4,13.55,13.4,13.55,268490
VNM,20200410,100,100,98.1,99.6,1111470
VNS,20200410,8.59,8.75,8.59,8.65,36610
VOS,20200410,1.35,1.39,1.35,1.37,67750
VPB,20200410,18.6,18.8,18.2,18.65,3400010
VPD,20200410,14.95,14.95,14,14,840
VPG,20200410,23.9,24.2,23.9,23.9,41940
VPH,20200410,3.7,3.89,3.7,3.8,34690
VPI,20200410,41.8,41.8,41.35,41.65,617880
VPS,20200410,13.7,13.7,13.5,13.5,3870
VRC,20200410,5.2,5.3,4.9,5.19,99100
VRE,20200410,23.7,24,23,23.8,2027970
VSC,20200410,21.6,21.6,21,21,178450
VSH,20200410,17.2,17.4,16.95,17.4,9060
VSI,20200410,21.95,21.95,21,21.15,70
VTB,20200410,10.2,10.6,9.8,9.9,1770
VTO,20200410,6.74,6.78,6.6,6.73,24050
TVB,20200410,15.6,15.6,15.35,15.35,112250
TVS,20200410,10.8,10.8,10.5,10.8,2660
TVT,20200410,18.8,18.85,18.8,18.85,820
TYA,20200410,12.1,12.8,12.1,12.7,14820
UDC,20200410,2.68,2.87,2.68,2.85,2120
UIC,20200410,36.3,36.3,34.1,35.8,1240
VCB,20200410,71,71.9,69.6,70.6,1599380
VCF,20200410,201,208.5,201,208.5,40
VCI,20200410,17.6,17.6,17.3,17.6,1148030
VDP,20200410,31.5,32,31.5,31.5,2040
VDS,20200410,6.3,6.3,6.3,6.3,1020
VFG,20200410,37.5,38.8,37.5,38.8,30
VGC,20200410,16.3,16.3,14.8,15.85,411370
VHC,20200410,26.2,26.6,25.4,25.95,643390
VHM,20200410,68.5,69.2,67,67.1,513310
VIC,20200410,96,96.8,93.7,95,983120
VID,20200410,3.82,4.1,3.82,3.82,2260
VIP,20200410,4.05,4.1,3.98,4.05,139820
VJC,20200410,102,109.1,102,109.1,268880
TMT,20200410,4.62,4.93,4.52,4.93,3590
TN1,20200410,62.5,63,62.5,63,2330
TNA,20200410,14,14.4,13.6,14.35,107230
TNC,20200410,13.6,13.7,13.6,13.6,3390
TNI,20200410,10.4,10.6,10.2,10.35,524000
TNT,20200410,1.49,1.49,1.45,1.47,57200
TPB,20200410,17.4,17.4,17,17.2,86670
TPC,20200410,7.45,7.45,7.45,7.45,30
TRA,20200410,55,55,53,53.5,880
TRC,20200410,23.4,24.9,23.35,24.9,18950
TS4,20200410,2.5,2.59,2.47,2.59,1100
TSC,20200410,2.02,2.16,2,2.16,1559640
TTB,20200410,2.5,2.51,2.44,2.51,290110
TTF,20200410,1.95,1.98,1.86,1.98,974170
TV2,20200410,55.5,55.5,53.2,53.7,21440
TLD,20200410,4.4,4.45,4.3,4.45,217160
TLG,20200410,29,29.9,28.5,29.9,38930
TLH,20200410,2.58,2.58,2.39,2.5,129800
TMP,20200410,32.7,32.7,32,32,1910
TMS,20200410,23.2,24.1,22.1,24.1,120
STK,20200410,16.45,17.1,16.25,16.9,372430
SVC,20200410,48,48.5,45.1,45.1,4950
SVI,20200410,67.9,67.9,63.6,63.6,2790
SVT,20200410,7.14,7.14,7.14,7.14,10
SZC,20200410,14.3,14.7,14,14.3,182530
SZL,20200410,31.65,33,31.65,32.8,77970
TAC,20200410,23.4,24,23.4,24,980
TCB,20200410,16.7,16.95,16.65,16.75,1495400
TCD,20200410,8.65,9.29,8.64,9.29,1610
