<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
ABC,20200226,9.4,9.5,9.4,9.5,2100
ABI,20200226,28.5,28.9,28.5,28.9,500
ACV,20200226,54.3,54.3,51,52.6,285710
ADG,20200226,93.5,105.7,93.3,94.9,16300
ADP,20200226,17.4,17.4,17.3,17.4,7000
AFX,20200226,3,3.2,3,3.2,5600
AMS,20200226,7.9,7.9,7.9,7.9,500
ANT,20200226,9.6,9.6,9.6,9.6,7600
APF,20200226,20.6,22.5,20.6,22.5,8400
BAB,20200226,18.1,18.1,18,18.1,2600
BAL,20200226,10.9,10.9,10.9,10.9,100
BCM,20200226,24.6,25.8,24.4,24.4,8210
BDT,20200226,15.5,15.5,14.9,15.2,29600
BEL,20200226,10,10,9.5,9.5,3801
BLI,20200226,7,7.1,7,7.1,13700
BMF,20200226,20.5,20.5,20.5,20.5,700
BMS,20200226,3.2,3.2,3.2,3.2,3000
BOT,20200226,55.3,55.5,55.3,55.5,30200
BRR,20200226,8.5,8.5,8,8,2300
BSA,20200226,13,13.1,13,13.1,2500
BSP,20200226,17.2,17.2,17,17,2900
BSR,20200226,7.3,8.2,7.1,7.4,1506840
BTD,20200226,16.5,16.5,16.5,16.5,2100
BUD,20200226,4.6,4.6,4.6,4.6,510
BVG,20200226,1.5,1.5,1.3,1.3,3700
BWS,20200226,35,36.4,35,36.4,1900
C12,20200226,2.5,2.5,2.5,2.5,1000
C21,20200226,25.9,25.9,20,25.9,2900
C4G,20200226,5.6,5.7,5.5,5.6,212416
CCA,20200226,7.4,7.4,7.4,7.4,800
CDO,20200226,1,1,1,1,10270
CDP,20200226,9,9.2,8.9,8.9,5700
CEN,20200226,8,8,7.8,7.8,2300
CI5,20200226,4.6,4.6,4.6,4.6,200
CKA,20200226,17.9,17.9,17.9,17.9,100
CLX,20200226,11.7,12,11.7,12,3100
CMT,20200226,8.4,8.4,8.4,8.4,100
CTR,20200226,44.7,46.6,44.7,45.5,282659
DDV,20200226,6.3,6.3,5.9,5.9,5300
DFC,20200226,30,30,30,30,100
DHD,20200226,26,26,26,26,100
DNE,20200226,9.3,9.3,9.3,9.3,900
DNW,20200226,18,18.4,18,18.4,1817
DRI,20200226,5.3,5.4,5.2,5.2,57200
DSP,20200226,11.9,11.9,11.9,11.9,900
DTC,20200226,12.3,12.3,12.3,12.3,7700
DVN,20200226,13,13.3,12.9,12.9,185510
E29,20200226,11.4,11.4,11.4,11.4,100
EIN,20200226,5,5,5,5,1220
EVF,20200226,8.6,8.6,8.4,8.5,408959
FOC,20200226,126.3,126.3,126.3,126.3,100
FOX,20200226,47,47.7,47,47.7,67010
G36,20200226,4.4,5,4.4,5,553389
GCB,20200226,5.9,5.9,5.9,5.9,4320
GHC,20200226,30.6,30.6,30.6,30.6,100
GVR,20200226,11.3,12.1,9.6,12.1,1272443
GVT,20200226,34.5,34.5,34,34,2504
HAC,20200226,5.2,5.3,5.2,5.3,9000
HBD,20200226,11.7,11.7,11.7,11.7,10600
HD2,20200226,6.5,6.5,6.5,6.5,300
HDM,20200226,14.5,16.7,14.5,16.7,200
HEC,20200226,30.5,30.5,30.5,30.5,200
HEJ,20200226,19.4,19.5,19.4,19.5,2600
HHV,20200226,16,16,16,16,100
HJC,20200226,5.7,5.7,5.7,5.7,700
HLS,20200226,32.9,32.9,32.9,32.9,100
HMS,20200226,21.1,21.6,21.1,21.4,4500
HND,20200226,16,16.7,16,16.5,178100
HNF,20200226,29.4,31,29.3,29.3,1500
HPD,20200226,16.4,16.5,16.4,16.5,4000
HPI,20200226,17,17.3,17,17.3,1000
HTE,20200226,5,5,5,5,212
HTG,20200226,20.1,20.1,20.1,20.1,429
HTM,20200226,16,16.5,16,16.3,20200
HU6,20200226,5.8,5.8,5.8,5.8,500
HWS,20200226,11.9,11.9,11.9,11.9,200
ICF,20200226,1.4,1.4,1.4,1.4,100
ICN,20200226,56.3,56.3,56.3,56.3,100
IFC,20200226,7.2,7.2,6.7,6.7,10700
ILA,20200226,3.4,3.4,3.1,3.2,17000
ILC,20200226,2.5,2.5,2.5,2.5,100
ILS,20200226,14,14.8,14,14.2,5800
ISH,20200226,15,15,15,15,1000
ITS,20200226,2.7,2.8,2.7,2.8,600
KDF,20200226,27.4,27.4,27.4,27.4,100
KHA,20200226,38.9,38.9,38.9,38.9,300
KHD,20200226,9,9,7.5,8.9,6300
L12,20200226,4.1,4.1,4.1,4.1,200
LKW,20200226,23.1,23.1,23.1,23.1,100
LPB,20200226,6.7,7,5.7,6.9,542375
LTG,20200226,18,18,17.5,17.6,42200
MCH,20200226,68,68,67.9,67.9,4169
MEG,20200226,16.3,16.3,16.3,16.3,1900
MFS,20200226,22.8,23.5,22.8,22.8,2200
MH3,20200226,35,35,33.6,33.6,3000
MIG,20200226,10.5,10.6,10.5,10.6,2130
MML,20200226,56,56,56,56,409
MPC,20200226,23.5,23.8,23.2,23.5,64610
MQN,20200226,40,41.8,32.1,39,4200
MSR,20200226,14.7,14.7,14.3,14.7,42030
MTH,20200226,7.7,10.3,7.7,10.3,300
NBE,20200226,7,7,7,7,6600
NCP,20200226,7.7,7.7,7.7,7.7,100
NCS,20200226,21.1,21.1,21.1,21.1,100
NDP,20200226,31,31,31,31,6
NDT,20200226,7.1,7.1,7.1,7.1,100
NHT,20200226,35,35,35,35,300
NLS,20200226,17,17,17,17,5300
NNG,20200226,8.1,8.1,8.1,8.1,3500
NTC,20200226,165,165.1,163.5,164.9,14125
NTT,20200226,11,11,11,11,29800
NUE,20200226,8.7,8.7,8.2,8.3,900
OIL,20200226,6.8,7.8,6.7,6.9,139600
ORS,20200226,5.5,5.5,5,5.1,119900
PCC,20200226,12,12,12,12,2400
PDT,20200226,10,10,10,10,100
PDV,20200226,3.4,3.4,3.4,3.4,600
PFL,20200226,0.7,0.8,0.7,0.8,17300
PGV,20200226,10,10.2,10,10.2,1100
PNP,20200226,16.6,16.6,16.6,16.6,1800
PPH,20200226,16,16,16,16,1000
PPI,20200226,0.5,0.6,0.5,0.6,148601
PSL,20200226,17.2,17.2,17.2,17.2,1900
PTP,20200226,12.5,13,12.5,13,1400
PTV,20200226,9.6,9.6,9.6,9.6,100
PVM,20200226,13.4,13.4,13.4,13.4,200
PVO,20200226,3,3.3,3,3.3,1900
PVP,20200226,5.5,5.7,5.5,5.6,5300
PVV,20200226,0.5,0.5,0.4,0.5,12000
PWA,20200226,8.7,10,8.7,9.8,227530
PXL,20200226,8.7,9.2,7.4,8.8,585834
QNS,20200226,26.5,26.5,26.3,26.3,60289
QPH,20200226,21.5,21.5,21.5,21.5,1600
QTP,20200226,12.2,12.4,12.2,12.4,75200
RCC,20200226,22.4,29.8,22.4,22.4,3200
RCD,20200226,10,10,10,10,1600
SAS,20200226,25.5,25.5,25.4,25.4,5300
SBD,20200226,7.8,7.8,7.8,7.8,3400
SBS,20200226,1,1.1,1,1,23000
SCC,20200226,2,2,2,2,600
SDP,20200226,1.5,1.5,1.5,1.5,500
SDV,20200226,19.6,20,19.6,20,200
SGP,20200226,6,6.3,6,6.3,20300
SIG,20200226,4,4.4,4,4.4,1200
SIP,20200226,77.6,77.6,75.5,76.5,33220
SJM,20200226,1.5,1.5,1.3,1.3,2000
SKH,20200226,21.8,22,21.6,21.6,3100
SKV,20200226,23.9,23.9,23.5,23.5,4100
SNZ,20200226,18,19.5,17.5,17.7,1500
SOV,20200226,28.7,28.7,28.7,28.7,2800
SPC,20200226,17,17,17,17,100
SRB,20200226,1,1,1,1,100
SSN,20200226,3.2,3.4,3.2,3.4,57730
STV,20200226,5.4,5.4,5.4,5.4,40
SWC,20200226,13,13.5,13,13.2,37300
SZE,20200226,10.7,10.7,10.7,10.7,2300
TA6,20200226,5.5,5.5,5.5,5.5,2000
TCW,20200226,17,17,17,17,530
TDP,20200226,21.9,21.9,21.9,21.9,10000
TIS,20200226,11.3,11.3,8.5,8.5,200
TL4,20200226,7,7.5,7,7.5,7900
TLP,20200226,8.9,8.9,8.9,8.9,100
TNB,20200226,11.3,11.7,11.3,11.7,5800
TND,20200226,9.5,9.8,9.5,9.5,48600
TNS,20200226,3.7,3.7,3.3,3.3,300
TNW,20200226,8.8,8.8,8.8,8.8,400
TOP,20200226,0.7,0.7,0.7,0.7,600
TTD,20200226,52.1,52.1,52.1,52.1,100
TTN,20200226,9,9.3,8.8,9,32100
TTP,20200226,31.9,31.9,31.9,31.9,100
TVN,20200226,6.2,6.2,6.1,6.1,300
UDJ,20200226,7.8,7.8,7.7,7.7,1103
USD,20200226,13,13,13,13,1100
VBB,20200226,16.1,16.1,15.8,15.9,1600
VCP,20200226,54.5,54.5,54.5,54.5,100
VDN,20200226,15.9,15.9,15.9,15.9,100
VEA,20200226,40.9,41.6,40.5,41,66510
VEC,20200226,8.1,8.1,7.8,7.8,8400
VEF,20200226,89,89,89,89,149
VFC,20200226,9.9,9.9,9.9,9.9,100
VGG,20200226,49.5,49.5,48.6,48.6,5560
VGI,20200226,27.8,31,26.8,27.9,318599
VGT,20200226,8.2,8.3,8.1,8.2,82324
VGV,20200226,10.6,10.6,8.1,9.3,1100
VHD,20200226,6,6,6,6,100
VHG,20200226,0.8,0.8,0.7,0.8,420905
VIB,20200226,17.8,18,17.3,17.8,1730855
VIM,20200226,21.3,21.3,20.3,20.3,1100
VIN,20200226,10.2,10.2,10.2,10.2,100
VLB,20200226,32.9,32.9,32.9,32.9,100
VLC,20200226,15.8,18,15.8,16.3,3200
VLG,20200226,5.7,5.7,5.7,5.7,100
VNA,20200226,2.8,2.8,2.6,2.8,38840
VNP,20200226,4.6,4.6,4.6,4.6,35
VNX,20200226,65.1,68,65,68,300
VOC,20200226,11.3,11.3,11.3,11.3,40
VPC,20200226,0.6,0.6,0.6,0.6,1200
VRG,20200226,11.2,11.4,10.9,11,40300
VTD,20200226,30.9,31.2,30.4,30.5,83000
VTK,20200226,26.7,26.7,26.5,26.5,200
VTP,20200226,121,121.8,120.1,120.5,21981
VTR,20200226,42.3,43.2,42.3,43,23202
WSB,20200226,40.8,40.8,39,39,200
X26,20200226,20.7,20.7,20.7,20.7,600
XMC,20200226,9.6,9.6,9.6,9.6,1000
